Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C120,10u,C_0805_2012Metric,193.269173,-276.702529,90.0,top
C121,1u,C_0603_1608Metric,220.424354,-264.543,180.0,top
C122,1u,C_0603_1608Metric,212.053,-264.4775,180.0,top
C123,1u,C_0603_1608Metric,216.778,-267.5775,0.0,top
C124,1u,C_0603_1608Metric,219.406,-273.0775,-90.0,top
C125,220p,C_0603_1608Metric,221.0895,-285.3275,180.0,top
C126,220p,C_0603_1608Metric,213.0895,-286.793,0.0,top
C127,220p,C_0603_1608Metric,213.0895,-285.043,180.0,top
C128,220p,C_0603_1608Metric,205.3395,-285.3275,0.0,top
C129,1u,C_0603_1608Metric,209.103,-275.8525,90.0,top
C130,10u,C_0805_2012Metric,207.103,-276.8525,90.0,top
C131,1u,C_0603_1608Metric,219.328,-276.5105,90.0,top
C132,10u,C_0805_2012Metric,221.428,-276.7105,90.0,top
C133,1u,C_0603_1608Metric,248.574354,-264.543,180.0,top
C134,1u,C_0603_1608Metric,240.203,-264.4775,180.0,top
C135,1u,C_0603_1608Metric,244.928,-267.5775,0.0,top
C136,1u,C_0603_1608Metric,247.556,-273.0775,-90.0,top
C137,220p,C_0603_1608Metric,249.2395,-285.3275,180.0,top
C138,220p,C_0603_1608Metric,241.2395,-286.793,0.0,top
C139,220p,C_0603_1608Metric,241.2395,-285.043,180.0,top
C140,220p,C_0603_1608Metric,233.4895,-285.3275,0.0,top
C141,1u,C_0603_1608Metric,237.253,-275.8525,90.0,top
C142,10u,C_0805_2012Metric,235.253,-276.8525,90.0,top
C143,1u,C_0603_1608Metric,247.478,-276.5105,90.0,top
C144,10u,C_0805_2012Metric,249.578,-276.7105,90.0,top
CU1,100n,C_0603_1608Metric,100.060005,-56.4845,180.0,top
CU2,100n,C_0603_1608Metric,95.524005,-65.4845,180.0,top
CU3,100n,C_0603_1608Metric,95.151,-125.3895,180.0,top
CU4,100n,C_0603_1608Metric,90.615,-133.6395,180.0,top
CU5,100n,C_0603_1608Metric,97.6135,-142.8345,180.0,top
CU6,100n,C_0603_1608Metric,93.0135,-151.5225,180.0,top
CU7,100n,C_0603_1608Metric,95.7135,-165.5225,180.0,top
CU8,100n,C_0603_1608Metric,91.2025,-174.3225,180.0,top
CU9,100n,C_0603_1608Metric,98.4605,-228.602514,180.0,top
CU10,100n,C_0603_1608Metric,93.9605,-237.102514,180.0,top
CU11,220u,C_Elec_6.3x5.8,112.1885,-271.1675,90.0,top
CU12,220u,C_Elec_6.3x5.8,92.6135,-269.8845,90.0,top
CU13,100n,C_0603_1608Metric,109.201,-125.3895,180.0,top
CU14,100n,C_0603_1608Metric,105.0,-133.5,180.0,top
CU15,100n,C_0603_1608Metric,111.6635,-142.8345,180.0,top
CU16,100n,C_0603_1608Metric,107.0635,-151.5225,180.0,top
CU17,100n,C_0603_1608Metric,109.7635,-165.5225,180.0,top
CU18,100n,C_0603_1608Metric,105.2525,-174.3225,180.0,top
